ESSrmin_inner,ESSrmin_outer,M,M1,N,T,algo,cores,d,inner_resampling_scheme,max_N_particles,max_memory_in_MB,method_MCMC_length,outer_essr_calc_mode,outer_resampling_scheme,processed,k
1.0,1.0,50.0,1.0,100.0,100.0,AdaptiveWastelessSMC,50.0,11.0,multinomial,1000000.0,7000.0,init_seq,standard,multinomial,True,
1.0,1.0,50.0,1.0,250.0,100.0,AdaptiveWastelessSMC,50.0,11.0,multinomial,1000000.0,7000.0,init_seq,standard,multinomial,True,
1.0,1.0,50.0,1.0,500.0,100.0,AdaptiveWastelessSMC,50.0,11.0,multinomial,1000000.0,7000.0,init_seq,standard,multinomial,True,
1.0,1.0,50.0,1.0,200000.0,100.0,WastelessSMC,50.0,11.0,multinomial,,7000.0,,standard,multinomial,True,1.0
1.0,1.0,100.0,1.0,200000.0,100.0,WastelessSMC,50.0,11.0,multinomial,,7000.0,,standard,multinomial,True,1.0
1.0,1.0,200.0,1.0,200000.0,100.0,WastelessSMC,50.0,11.0,multinomial,,7000.0,,standard,multinomial,True,1.0
1.0,1.0,400.0,1.0,200000.0,100.0,WastelessSMC,50.0,11.0,multinomial,,7000.0,,standard,multinomial,True,1.0
1.0,1.0,800.0,1.0,200000.0,100.0,WastelessSMC,50.0,11.0,multinomial,,7000.0,,standard,multinomial,True,1.0
1.0,1.0,50.0,1.0,6250.0,100.0,WastelessSMC,50.0,11.0,multinomial,,7000.0,,standard,multinomial,True,1.0
1.0,1.0,50.0,1.0,25000.0,100.0,WastelessSMC,50.0,11.0,multinomial,,7000.0,,standard,multinomial,True,1.0
1.0,1.0,50.0,1.0,100000.0,100.0,WastelessSMC,50.0,11.0,multinomial,,7000.0,,standard,multinomial,True,1.0
1.0,1.0,50.0,1.0,400000.0,100.0,WastelessSMC,50.0,11.0,multinomial,,7000.0,,standard,multinomial,True,1.0
1.0,1.0,50.0,1.0,800000.0,100.0,WastelessSMC,50.0,11.0,multinomial,,7000.0,,standard,multinomial,True,1.0
1.0,,,,40000.0,100.0,ClassicalSMC,50.0,11.0,multinomial,,7000.0,,,,True,5.0
1.0,,,,10000.0,100.0,ClassicalSMC,50.0,11.0,multinomial,,7000.0,,,,True,20.0
1.0,,,,2000.0,100.0,ClassicalSMC,50.0,11.0,multinomial,,7000.0,,,,True,100.0
1.0,,,,400.0,100.0,ClassicalSMC,50.0,11.0,multinomial,,7000.0,,,,True,500.0
1.0,,,,200.0,100.0,ClassicalSMC,50.0,11.0,multinomial,,7000.0,,,,True,1000.0
